fold,model,fit_time_sec,accuracy,precision,recall,f1
1,Собственный GB,2.2309174349993555,0.9210526315789473,0.9696969696969697,0.9014084507042254,0.9343065693430657
1,sklearn GB,0.3304068510005891,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791
2,Собственный GB,2.253067014999033,0.9035087719298246,0.875,0.9859154929577465,0.9271523178807947
2,sklearn GB,0.42052824399979727,0.9298245614035088,0.92,0.971830985915493,0.9452054794520548
3,Собственный GB,2.197967821999555,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231
3,sklearn GB,0.3216966840009263,0.956140350877193,0.935064935064935,1.0,0.9664429530201343
4,Собственный GB,2.186119766000047,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493
4,sklearn GB,0.3149116540007526,0.9736842105263158,1.0,0.9583333333333334,0.9787234042553191
5,Собственный GB,2.27195487499921,0.9646017699115044,0.958904109589041,0.9859154929577465,0.9722222222222222
5,sklearn GB,0.33097587100019155,0.9823008849557522,0.9726027397260274,1.0,0.9861111111111112
